iteration,timesteps,return,actor_loss,critic_loss,total_loss
1,2200,-1257.5059051952453,-0.00041491050805364337,31204.193604910713,15601.937371651786
2,4400,-1111.2723333817144,-0.002549353838953751,15877.884333932636,7938.776881337955
3,6600,-1049.1094902297796,-0.002316004931926727,12219.168856026785,6109.416446010045
4,8800,-1290.7511832339821,-0.00415745632989066,15531.405471540178,7765.529969308036
5,11000,-1131.7231815452176,-0.0023595908849403774,14294.117834051724,7146.884403623384
6,13200,-1149.017284078053,-0.0037694145985961666,11925.778558674649,5962.709586781158
7,15400,-1049.2860388799713,-0.006508923787305786,9501.17451638492,4750.402269591244
8,17600,-974.672283132718,-0.002635706233752282,7178.545412470379,3589.0886097406324
9,19800,-1057.0911189829994,-0.0009663469461073358,7585.023905191077,3792.3257946336125
10,22000,-1044.5595629468187,0.0017905744375791232,6474.806400936787,3237.2165152599023
11,24200,-1052.2467637734671,-0.0039825199118682314,6012.150232282366,3005.880373535156
12,26400,-1029.2569236209633,0.0016341686197922092,6059.0344571579035,3029.3255394424596
13,28600,-1019.9636024790638,-0.001835180642573457,5307.503505506013,2653.5537243893273
14,30800,-981.0270179454857,-0.0038582335154597578,4585.692346034906,2292.6433882101987
15,33000,-922.2300696692038,-0.005188574615333762,4913.216769627163,2456.401842389788
16,35200,-1021.669308270859,-0.0015774558249272799,5156.6162751850325,2578.103166546738
17,37400,-980.0587359297741,-0.006047671078254818,5567.763244864564,2783.670010482022
18,39600,-960.0639263609554,0.0023810231309396484,5475.909464383046,2737.7495640345983
19,41800,-1059.4613424487313,-0.008525763411779661,6246.072532200169,3122.8181812183275
20,44000,-990.0384620939873,0.00029883942433765954,5155.552150878906,2577.565455671038
21,46200,-982.1355057874564,-0.006144753442360804,5469.034260331236,2734.2991551187783
22,48400,-897.0498056622114,-0.0027761688617648035,5187.211711920343,2593.3901072805716
23,50600,-825.195085722498,-0.0023082775316831004,5911.562768836931,2955.563687539514
24,52800,-838.1959352547725,0.0022819523087569647,4512.3552336774555,2255.961588483538
25,55000,-902.2392803144413,-0.004588336401849712,5097.56253919689,2548.557028114249
26,57200,-896.6180769714404,-0.00040267102689628143,5432.884499423475,2716.220472220915
27,59400,-903.5281112860317,-0.0025074595198182775,4943.459630985071,2471.5041153407333
28,61600,-914.6463931974772,-8.00903992993491e-05,4997.175702427456,2498.3629094587054
29,63800,-940.9072704486572,0.003676441948740713,4785.303404777281,2392.4291116037675
30,66000,-831.336840865131,-0.002142043288694609,4320.369038713087,2159.9553515699663
31,68200,-917.2538268020334,-0.0010077405377482691,4656.138248524768,2327.8420561661956
32,70400,-827.3382361628927,-0.002405934949959714,4060.59658832199,2030.0699436679208
33,72600,-886.9467307543197,-0.0039658545170511515,4850.54553327288,2425.0416619001116
34,74800,-817.9830644115427,-0.008077550679445267,5019.810476543098,2509.6692157265365
35,77000,-903.7216492955545,-0.0060316553644541296,4609.6885882878705,2304.6106253586245
36,79200,-892.0634312657588,-0.006733223836383094,4629.232884946076,2314.382952482804
37,81400,-935.2424261103843,0.0006562578461028093,4981.747102649007,2490.6477818773283
38,83600,-1051.5751726269207,-0.0003390745659874067,7311.171319601052,3655.359416948561
39,85800,-903.7689345442562,-0.004057526640908819,6284.455967003191,3141.9991076832084
40,88000,-919.1390681523218,-0.0019268982112407684,5550.0647063337055,2774.8057850864957
41,90200,-861.726244535428,-0.0012684250090803418,5422.066862444196,2710.8077842494417
42,92400,-831.9627842859422,-0.0009931707503022375,4699.390489732897,2349.4716108167495
43,94600,-732.1070333411019,-0.0008949028594153268,4503.135876813616,2251.345997140067
