iteration,timesteps,return,actor_loss,critic_loss,total_loss
1,2200,-1273.9434790128037,-0.002792203689322752,32311.63009142802,16155.653873597135
2,4400,-1174.487558440656,8.291986427809063e-05,21390.07078079313,10694.873766447368
3,6600,-1213.9355058586093,-0.0013693795459611075,17212.919416852677,8606.292645089286
4,8800,-1107.2367076176515,-0.0016813222091735863,15532.669448480374,7766.163511694931
5,11000,-1211.9271826877302,-0.0024191630072891712,15216.467266845702,7608.057322692871
6,13200,-1077.0610076950709,-0.004587845802307129,11940.96841657366,5970.302455357143
7,15400,-1041.4887842873934,-0.0016748370464975044,9919.748495905345,4959.691648820589
8,17600,-1132.6768631517166,-0.002222395676469046,9221.0104484437,4610.318631417411
9,19800,-1099.0507462784067,-0.006056180591104736,8613.623383857834,4306.618624405122
10,22000,-1131.87249901197,-0.0013774529697350513,8193.154171790606,4096.385096797237
11,24200,-1077.5071631656747,-0.004682878344445615,7194.64949720228,3597.126136903505
12,26400,-1074.8974469632826,-0.007778533883971871,6432.182419851037,3215.886569482675
13,28600,-1048.091381949794,-0.008114784672686356,6496.209596119,3247.897259498277
14,30800,-985.3320935094365,-0.0019551168169294085,5772.762944335937,2886.177635672433
15,33000,-997.2999473037773,-0.003184979815374721,6076.126046475497,3037.855989213423
16,35200,-938.3903911795559,-0.0007837663094202677,5274.047463356912,2636.817743524775
17,37400,-914.9554528295076,-0.0030363895064961593,5392.94896524705,2696.2643798107947
18,39600,-958.0874736386372,5.300321203448397e-05,4835.976169907566,2417.7787064213458
19,41800,-1061.7672561059765,0.002033419135012157,5700.684599406979,2850.132712566791
20,44000,-968.306833552651,-0.00013631616840885662,5720.691623092201,2860.1316340321728
21,46200,-904.9665332265326,-0.0037233963843405714,5621.0355878214195,2810.298504686731
22,48400,-1022.0104043580887,0.004934481823641951,5563.8805450945265,2781.7292291630697
23,50600,-927.4231880796688,0.0007955247163772583,6703.177405831473,3351.3713427734374
24,52800,-979.0166289739503,-0.0012722036668232509,5526.821924874442,2763.188097446987
25,55000,-948.5235127823748,-0.0028271896072796414,5962.471781180246,2981.0094613211495
26,57200,-1025.8371369149806,-0.0048481543658312806,6669.404803353067,3334.4728010663334
27,59400,-929.0912606660154,-0.0020553958253795596,7221.477226828231,3610.5111955915177
