iteration,timesteps,return,actor_loss,critic_loss,total_loss
1,2200,-1325.9524086532417,-0.003600559944723859,36960.399739583336,18480.037392698687
2,4400,-1387.372166095103,-0.009383823364973069,33635.680359375,16817.66829296875
3,6600,-1276.274054617671,-0.0017632890666257524,20496.061684447806,10247.863995295698
4,8800,-1306.387185006606,-0.0005038870343317589,19178.524820963543,9589.093570285373
5,11000,-1234.4608260669145,-0.0011019905970107377,17817.97937287896,8908.8174844457
6,13200,-1302.2774516438142,-0.0008814217150211334,14972.910146484375,7486.28098702567
7,15400,-1135.517699754005,-0.002674479573352696,15145.329544694456,7572.486333977687
8,17600,-1271.1359838915969,-0.0022878439255779788,12521.248783234627,6260.443234351374
9,19800,-1082.8697324254279,-0.0030909475670861347,11848.466273716518,5924.048170907156
10,22000,-1208.2296546500322,-0.003922809268298902,10979.612813527961,5489.618830951891
11,24200,-1177.941567499213,-0.0030028758091585977,10464.87037248884,5232.246105608259
12,26400,-1078.3978384566615,-0.004223054381151163,8297.164455167242,4148.388109330442
13,28600,-1109.1936776198784,-0.002225798653795364,8245.52382275737,4122.566618790864
14,30800,-1087.2364522425635,-0.0018194509939577594,6253.443648044418,3126.525182568052
15,33000,-1079.2770904583042,0.0011436794474334914,6349.8722739738505,3174.7405436619574
16,35200,-985.0735231101121,-0.0016595491341182163,5845.268588867188,2922.432445591518
17,37400,-953.0002793455361,0.002863226782368577,7514.414706022843,3757.007945848548
18,39600,-958.8916707498353,-0.0009855511728848253,5027.7061950113175,2513.64832740855
19,41800,-1019.2305950105311,0.0007123967579432896,5677.594956054688,2838.592117222377
20,44000,-1016.0705996154317,-0.0006781274718897683,6220.008895089286,3109.795095912388
21,46200,-1016.5169183654987,-0.002450621234519141,5159.982478376116,2579.778567940848
22,48400,-976.3217811160921,-0.0030232000989573343,6383.946233258928,3191.7579541015625
23,50600,-978.785832979413,-0.0038879395334006158,6663.970915206755,3331.766481547243
24,52800,-1025.23477492433,-0.00184492921211805,6009.159398538658,3004.36045490888
25,55000,-1084.966125738746,-0.005635046918160285,6676.158807168978,3337.854270308938
26,57200,-921.701583379965,0.0019616254951272693,7050.120105329241,3524.840890590123
27,59400,-960.951187177125,-0.00047806426882743833,5969.0842550223215,2984.3195207868303
28,61600,-982.7762695781788,-0.00717227686715277,6264.487267602848,3132.014263297938
29,63800,-956.9173191635072,-0.00043091984300673764,5766.856018839003,2883.2045933204363
30,66000,-966.1332772857645,0.007985503777213718,5902.1764552904215,2950.8730442212977
31,68200,-982.9592396122979,-0.0014932294189929961,4331.673262416295,2165.612535051618
32,70400,-985.2495936375417,-0.006609372237823188,6068.184095063668,3033.863186113351
