iteration,timesteps,return,actor_loss,critic_loss,total_loss
1,1500,-500.0,-0.008435693227996428,806.0944683074952,403.03879788716637
2,2876,-458.3333333333333,-0.00869421545331451,412.3535000887784,206.16805617592553
3,4376,-500.0,-0.011126649587337549,229.4941631158193,114.73595502376557
4,5876,-500.0,-0.0042299270814207075,157.9200960199038,78.95581795771916
5,7376,-500.0,-0.006368535137096164,162.41267170625574,81.1999670383977
6,8876,-500.0,-0.00638821218162775,171.5607856273651,85.77400453885396
7,10376,-500.0,-0.006076064137537984,201.45629626643048,100.7220723228733
8,11876,-500.0,-0.003162453392481742,199.71277770996093,99.85322648684183
9,13376,-500.0,-0.01000668581490968,203.54176076253256,101.76087341739633
10,14860,-494.3333333333333,-0.004879917201326519,186.03235247877777,93.01129625664383
11,16360,-500.0,-0.010873166386348505,169.06363603274028,84.52094473838807
12,17824,-487.6666666666667,-0.006185845528022352,157.61828937300717,78.80295885614602
13,19010,-394.3333333333333,-0.0020268206239845124,138.46079953511557,69.22837316072903
14,20308,-432.0,-0.020682059506746543,198.80245463053384,99.38054481594042
15,21531,-304.75,-0.017537747066290604,202.13236321343317,101.04864392961774
16,22958,-356.0,0.0037916526715788576,192.50461747911243,96.25610054863824
17,24282,-330.0,-0.006394202271032901,172.62517309642973,86.30619238898868
18,25314,-257.0,-0.00787133164703846,169.59832471482298,84.79129094604059
19,26471,-191.83333333333334,-0.0049596237284796575,188.16798621041434,94.07903367178781
20,27634,-290.0,-0.007930284041618363,166.16353667184208,83.07383818037054
21,28780,-228.2,-0.004061563889826498,181.25731624480215,90.6245967495826
22,29971,-197.5,-0.0056505727967837965,143.3272080770353,71.65795341739809
23,31410,-287.0,-0.002338341816895358,108.86558949014415,54.43045642686927
24,32719,-261.0,-0.008544138756891091,157.07022101662375,78.52656634937634
25,33882,-165.14285714285714,-0.0030352104467903677,127.77411663937731,63.88402316683815
26,34976,-181.33333333333334,-3.0330327960352102e-05,99.99293661117554,49.9964379840427
27,36110,-140.75,-0.004900943317140142,72.41497480604383,36.2025864760081
28,37240,-160.42857142857142,-0.005093898670747876,135.46629380120172,67.72805319892035
29,38346,-157.0,-0.006339412733602027,96.04348051283094,48.0154007964664
30,39479,-188.0,-0.002322804049721786,105.5284845340326,52.76191923485039
