iteration,timesteps,return,actor_loss,critic_loss,total_loss
1,1500,-500.0,-0.001797711872495711,816.810879389445,408.4036303202311
2,2909,-469.3333333333333,-0.020918123780616693,465.1027036394392,232.53042231151036
3,4382,-490.6666666666667,-0.020221967339360467,325.30532379547753,162.63242784937222
4,5780,-465.6666666666667,-0.012779476816185575,217.65216786849902,108.81329196432362
5,7131,-449.3333333333333,-0.01836911736472965,177.26050707412094,88.61187196322227
6,8507,-343.25,-0.008102377140047875,138.02914188991895,69.00645617138255
7,9539,-205.4,-0.011004547743747631,110.1134627012559,55.04571441662164
8,10787,-248.6,0.004023724131341746,127.70018335598618,63.85410305991102
9,11954,-193.5,-0.010631667430933616,71.05179297434141,35.515252851460076
10,12996,-147.85714285714286,-0.009975349256659256,133.79241205103258,66.88621873294606
11,14163,-165.71428571428572,-0.012930699675861333,72.67041986959951,36.32226807982833
12,15239,-133.5,-0.008786405694771963,77.74449796561736,38.863451865782224
13,16333,-120.55555555555556,-0.0075203573457824375,64.89782883357076,32.44138313960103
14,17361,-113.22222222222223,0.0019724174046560246,50.26649884476381,25.13521161780638
15,18457,-120.77777777777777,-0.02000779495574534,55.45887828391531,27.70942121744156
16,19492,-114.0,-0.014520586736719398,44.68733185038847,22.32913530293633
17,20621,-111.9,-0.008321280006526245,39.022931252585515,19.503134791056315
18,21721,-109.0,0.002077845057884101,41.97626207318417,20.99019999975382
19,22773,-104.2,0.0010518368321638077,59.48627001199967,29.74417833181528
20,23833,-95.36363636363636,-0.012531448880003558,29.50181625949012,14.73836882246865
21,24860,-92.36363636363636,-0.021575994252406777,32.994485777365156,16.475659184875976
22,25903,-103.3,-0.012423279278202732,69.75915422012557,34.86714703289431
23,27020,-100.54545454545455,-0.012927635906574626,52.541268581814236,26.25769958496094
24,28079,-95.27272727272727,-0.006442365274928949,42.44884100521312,21.217970489053165
25,29142,-95.63636363636364,-0.013978271984823924,45.83772958026213,22.904879766352035
26,30218,-88.66666666666667,0.011875286746101502,38.085702455960785,19.054720340630947
27,31272,-86.83333333333333,-0.004136744322364821,30.00199090172263,14.996852998172535
28,32358,-89.5,-0.005493357433827922,31.97152717253741,15.980264798332664
29,33440,-89.16666666666667,-0.004845162757727153,29.307022201313693,14.648661058089312
30,34536,-98.63636363636364,-0.0004672834868816768,70.72227605651406,35.36066561586716
