iteration,timesteps,return,actor_loss,critic_loss,total_loss
1,2200,-1259.3134112661435,-0.0009926859518864016,32700.741989356884,16350.369995471014
2,4400,-1259.6696728602615,-0.0004126948637289328,21573.889369838587,10786.944239161036
3,6600,-1269.104639186934,-0.0036297373952610154,16409.271356026784,8204.63205357143
4,8800,-1279.8853260876842,-0.0027920057624578475,14680.037000558035,7340.015719866072
5,11000,-1334.8633506254394,-0.0033232831209897996,14977.769665178572,7488.881510881696
6,13200,-1381.509685447366,-0.00363994185280587,13523.365704520089,6761.679232003348
7,15400,-1348.9805153127681,-0.003364781199821404,13835.217719029019,6917.605491071428
8,17600,-1315.165980401214,-0.0016465606710302052,15022.981990929806,7511.489346590909
9,19800,-1350.1687382709217,-0.0016202758159488439,14263.405228794643,7131.700979352679
10,22000,-1235.5456138357297,-0.0014006721321493387,14630.799433720576,7315.398328112317
11,24200,-1328.0220027147147,-0.004435254420821715,14098.832039470222,7049.411569306345
12,26400,-1350.5863893137055,-0.0003856171348265239,14360.772774832589,7180.386012137276
13,28600,-1337.5942443147926,-0.0029740731432632414,14188.773025238585,7094.383545652835
14,30800,-1269.3531182167412,-0.001669697920858328,12912.437604631696,6456.217123849051
15,33000,-1146.7737052752545,-0.007784425802187089,11706.72678200258,5853.355619938002
16,35200,-1078.9546546315005,-0.006427898517121439,9785.910782523777,4892.9489905315895
17,37400,-971.6748431601525,0.00225403524168274,7439.881605132287,3719.9430603540245
18,39600,-1081.8150249126295,-0.004457650858061508,7509.443520738331,3754.7173019212714
19,41800,-1043.6933311754483,0.0018395672368845253,6163.731824470289,3081.8677395907316
20,44000,-1118.6225386023286,-0.00020893038909056196,5980.296049620816,2990.1478194871206
21,46200,-1051.3568620009576,0.0014825492736793334,6299.314773770521,3149.658870855235
22,48400,-1068.6489268933653,0.0038153909871937665,6388.336340052481,3194.171989615637
23,50600,-1119.5468827962331,0.0005855932538434276,6384.339801457923,3192.1704841673845
24,52800,-1141.7767530671708,0.0018799549574593463,7184.289362528238,3592.146574089326
25,55000,-1236.4628908183777,-0.01636375464937266,8946.969353170956,4473.468290441177
26,57200,-1211.705667876918,-0.0033286807858208312,9156.88321012988,4578.438295259757
27,59400,-1170.8132131087289,0.0008449230914228053,8553.501833181348,4276.7517685308685
28,61600,-1094.4377958969856,-0.00738360827381257,8840.371520996094,4420.178405761719
29,63800,-1088.46897679601,-0.0073586731342618,6854.995404115657,3427.490345119201
30,66000,-1082.051057156734,-0.0014340949933720779,7208.428568800835,3604.2128538366865
31,68200,-1008.8207932681709,-0.0030964437954045915,7025.372437864869,3512.683118212354
32,70400,-992.5893592697827,-0.0018445274956738118,6722.244366755251,3361.1203383148695
33,72600,-1017.212269744258,-0.0016997671539813167,5210.754747178819,2605.37567957151
34,74800,-897.5049106107192,-0.004065326080144791,4963.27534673455,2481.633608014396
35,77000,-1044.2519797084922,-0.007651373069604923,5488.6213996273345,2744.303041655442
36,79200,-1011.4928733518699,0.001481576248897478,5310.430086687278,2655.2165191795025
37,81400,-984.4028168397606,0.0028853272505773185,6165.4404860276445,3082.72312105619
38,83600,-1013.5212836445194,-0.0010787351253001313,4834.189972887541,2417.093909012644
39,85800,-939.0485104749266,-0.0027603017118496775,4519.663104717548,2259.8287904397034
40,88000,-966.2833635080434,-0.0058975736813052845,5391.1931488479395,2695.5906725897307
41,90200,-937.4233645047585,-0.00318665369527369,4578.643741663491,2289.318690453506
42,92400,-934.2411687284163,-0.001670916426413949,3893.8899766120358,1946.9433144832003
43,94600,-868.9815760773312,0.00016782509329000322,4588.2900185160115,2294.1451857160814
44,96800,-915.3909265116631,-0.002042475149164316,5226.519295170622,2613.2576069382003
45,99000,-916.8315143964132,-0.00547940671661651,4487.796370072799,2243.892699006316
46,101200,-897.1168265497821,-0.0077074581012129785,5353.148000837054,2676.566293247768
47,103400,-930.1950003275934,0.0010746760260841744,4057.315874234898,2028.6590122012642
48,105600,-852.6726522324338,-0.00337004064384735,4345.275519353693,2172.634391645952
49,107800,-977.607518464214,-0.002055072069687899,4557.349012649891,2278.6724481626998
50,110000,-946.4959804598188,0.001367402503207799,5569.067548479353,2784.535138811384
51,112200,-966.4158955381467,-0.0014918819517921336,5059.430848636169,2529.7139309493127
52,114400,-947.1954860318667,-0.002652423125035411,5563.621791762794,2781.808245562867
53,116600,-1052.363832712781,0.0005256547234379328,6230.975826948117,3115.4884361853965
54,118800,-1044.7770562841636,-0.00224425206061012,6689.783800350722,3344.889654344128
55,121000,-1074.9114859404772,-0.006832333086358924,7531.525985225554,3765.756148799773
56,123200,-991.6483672955733,-0.0020499742352721854,7380.894146084045,3690.4450296911396
57,125400,-1129.2909360231351,0.0029383125076965083,8293.66966043307,4146.837754136934
58,127600,-1134.8189874091383,0.0008773306012153626,9325.651284179687,4662.826520996094
59,129800,-1072.933509444288,-0.013126818729641358,9365.385208601803,4682.6794785961665
60,132000,-1089.5286812366262,-0.0018251975498243466,9567.663761010906,4783.830046992974
61,134200,-1036.2091807167303,-0.004180394614181543,8159.545248428577,4079.7684462494053
62,136400,-993.3673229345349,-0.006717454001773149,7077.497779846191,3538.7421836853027
63,138600,-967.8321086110872,-0.0071473152973084595,6921.806550678454,3460.896125659608
64,140800,-1024.232849437329,0.012230781040021352,7134.684832809563,3567.3546417924695
65,143000,-997.2394223991085,0.00649846023729732,6656.448791897681,3328.2308822139616
66,145200,-1028.4039694285611,0.00725792249244067,7167.79392562374,3583.9042181199598
67,147400,-974.4055971900528,0.005640374065295562,6339.334004037332,3169.672637734637
68,149600,-1038.7542587701125,-0.008728473350250473,6622.363286336263,3311.172908782959
69,151800,-965.7471182236266,-0.002298003125627686,6539.2369962993425,3269.6162035949246
70,154000,-929.6237733752424,-0.0028024668158110927,5985.649375441384,2992.8218897587835
71,156200,-884.2348426060861,-0.0031870429959928565,5392.081087496912,2696.0373554455905
72,158400,-955.2589470041603,-0.021810692376815356,5794.768091446314,2897.362232697316
