iteration,timesteps,return,actor_loss,critic_loss,total_loss
1,2200,-1257.5059051952453,-0.0008051350366856371,31204.193604910713,15602.095984933036
2,4400,-1140.231842606278,-0.0009074244017322217,15816.306209620143,7908.152201274973
3,6600,-1029.5660370259504,-0.001954163626900741,12472.578642578124,6236.287371651786
4,8800,-1298.1084027234376,-0.005292411636594318,15110.47829249351,7555.233852669464
5,11000,-1133.7034985860314,-0.0005747410310172813,13635.908077653348,6817.953458331318
6,13200,-1226.0980478805704,-0.004936454605221118,12440.573953219411,6220.282037003163
7,15400,-1101.902911236522,-0.005678678054820852,10753.491953371451,5376.7402967579355
8,17600,-1045.4434482617858,-0.0013046803099236318,8755.397995256697,4377.69768624442
9,19800,-1210.0981948994897,-0.0032555516347636633,10162.294271307854,5081.143877123952
10,22000,-1205.9897365758768,-0.004513044283103408,9758.321910363891,4879.156423575062
11,24200,-1152.1299279417835,-0.007881944519874541,8411.212495575444,4205.598364573852
12,26400,-1053.2678927297031,-0.0022386759775122854,6246.837476776867,3123.4165027897534
13,28600,-1134.421917676006,-0.0031267343827619636,5904.023320480873,2952.008522191541
14,30800,-1069.4923393773859,-0.004037733906396218,4880.16144670759,2440.076685719676
15,33000,-1019.0910901931195,-0.005708899609981829,5678.039264654658,2839.0139199032146
16,35200,-1120.1534719532358,0.00020895180188195217,5209.575166924055,2604.78779424623
17,37400,-984.9524801081699,-0.0021997405805650656,6023.892256710507,3011.943931649584
18,39600,-1034.9191231998973,0.0023399569629127593,5740.544199590452,2870.274445319258
19,41800,-993.5597948256792,-0.003408779948949814,5506.435094523879,2753.2141389666863
20,44000,-995.2879453407121,-0.0022213759241489378,4157.697253715702,2078.8464016053736
21,46200,-1079.2548286763692,-0.00864640524100867,4014.2898535350014,2007.136281815786
22,48400,-928.781936939665,-0.015588468429632485,4911.211337280273,2455.590083312988
23,50600,-899.6375805651895,-0.0011445155517625,4528.166768391927,2264.0822410583496
24,52800,-919.5835986339923,0.0012414723169058561,4070.0998153686523,2035.0511469523112
25,55000,-889.3893595875103,-0.00839129459819998,4367.714246961806,2183.8487300166375
26,57200,-833.9369731179472,-0.0005417176481377293,3676.3164880773525,1838.157700087998
27,59400,-934.6182490532648,-0.006833634070224233,3815.3257703993054,1907.6560483579283
28,61600,-968.5699303748039,-0.002830345832532452,3904.7651611328124,1952.379754048009
29,63800,-979.4878319172284,-0.001603429567640518,4074.278867211672,2037.1378240302058
30,66000,-887.2442370922923,0.0074992325610002955,4124.333857905757,2062.174425279772
31,68200,-990.2305340664457,0.00037750005250490165,4204.555365840091,2102.2780653555183
32,70400,-879.0355882956469,0.014726643674075604,4080.565322265625,2040.2973876953124
33,72600,-938.2464171557393,0.03480673834803651,4651.929423347849,2325.999521724513
34,74800,-946.7280199016049,-0.006804157392336772,5551.921424278846,2775.953894981971
35,77000,-848.3554328911297,-0.002899365225697265,4745.875321332146,2372.934761496151
